Date,Avg_Dictionary_Sentiment_Score,Avg_Finbert_Sentiment_Score
2006-08-18,-0.01243577827032875,-0.38819618499999997
2006-08-21,-0.0041322314049586,-0.94143856
2006-08-22,-0.008338433292533651,-0.0672897875
2006-08-23,-0.016146428118259053,0.18284670849999998
2006-08-24,-0.010034745549393372,-0.05129442428571429
2006-08-25,-0.0176039814265955,-0.2678420005666667
2006-08-28,-0.007147126147739383,-0.4333415683333333
2006-08-29,-0.0041736150561674,-0.68406005
2006-08-30,-0.009029345372460466,-0.2794722821
2006-08-31,-0.014907905014135593,-0.18340038275
2006-09-01,-0.012414199914199849,-0.40891294
2006-09-04,-0.005007644210083,0.007940616666666659
2006-09-05,-0.01417338561775885,-0.2744545115
2006-09-06,-0.009643048960010099,-0.6162225907777779
2006-09-07,-0.02,-0.7237116
2006-09-08,-0.00903414374916965,0.04859809999999998
